game,shots,hits,accuracy
943,35,17,48.57142857142857
944,39,17,43.58974358974359
945,50,17,34.0
946,56,17,30.357142857142854
947,55,17,30.909090909090907
948,49,17,34.69387755102041
949,44,17,38.63636363636363
950,46,17,36.95652173913043
951,39,17,43.58974358974359
952,35,17,48.57142857142857
953,60,17,28.333333333333332
954,47,17,36.17021276595745
955,42,17,40.476190476190474
956,51,17,33.33333333333333
957,42,17,40.476190476190474
958,51,17,33.33333333333333
959,47,17,36.17021276595745
960,41,17,41.46341463414634
961,54,17,31.48148148148148
962,40,17,42.5
963,79,17,21.518987341772153
964,41,17,41.46341463414634
965,43,17,39.53488372093023
966,39,17,43.58974358974359
967,51,17,33.33333333333333
968,50,17,34.0
969,94,17,18.085106382978726
970,34,17,50.0
971,47,17,36.17021276595745
972,49,17,34.69387755102041
973,49,17,34.69387755102041
974,53,17,32.075471698113205
975,43,17,39.53488372093023
976,44,17,38.63636363636363
977,45,17,37.77777777777778
978,39,17,43.58974358974359
979,58,17,29.310344827586203
980,49,17,34.69387755102041
981,81,17,20.98765432098765
982,40,17,42.5
983,57,17,29.82456140350877
984,48,17,35.41666666666667
985,38,17,44.73684210526316
986,37,17,45.94594594594595
987,47,17,36.17021276595745
988,38,17,44.73684210526316
989,39,17,43.58974358974359
990,38,17,44.73684210526316
991,33,17,51.515151515151516
992,58,17,29.310344827586203
993,44,17,38.63636363636363
994,44,17,38.63636363636363
995,45,17,37.77777777777778
996,34,17,50.0
997,52,17,32.69230769230769
998,61,17,27.86885245901639
999,47,17,36.17021276595745
1000,71,17,23.943661971830984
